Row Labels,1,2,3,4,5,6,7,8,9,10,11,12
0,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
1,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
2,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
3,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
4,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
5,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
6,-0.3170122,-0.2863336,-0.3170122,132.260688,463.9260657,588.16283,330.7971738,136.0108074,16.1469392,-0.3170122,-0.306786,-0.3170122
7,-0.3170122,21.6405918,399.9756058,883.84602,928.147949,919.73737,760.1439038,709.794383,656.793908,489.2798269,96.753162,0.4450596
8,430.710884,657.257878,891.062652,942.10912,1017.827,986.4915,906.19467,895.723061,904.00814,931.66296,760.40102,513.2551021
9,794.486208,808.7638,979.39284,952.0733,1005.55902,982.1237,990.33242,962.9311,902.77952,966.04535,844.65445,801.1367
10,818.81291,837.82218,969.15633,983.4112,1006.009,959.28656,1004.77603,966.66051,954.62843,972.62005,831.66999,787.1263
11,765.72149,827.48766,970.8439,991.9903,1032.9789,955.60115,984.822,1006.9006,972.815,931.52725,798.3704,744.8518
12,724.45913,766.993269,968.982,980.199,1025.6493,961.14296,1006.4052,1020.1539,973.9941,899.01167,764.1584,728.4173
13,730.82332,780.86293,967.4531,973.8543,1024.3723,977.20416,1016.5438,978.5313,967.9924,907.01509,774.67105,713.8381
14,767.74321,781.38677,985.7414,957.83447,1008.2355,975.97198,1019.8058,992.74284,947.16896,947.18634,802.10019,694.933803
15,708.050296,757.4321,959.76077,935.309,1020.6945,975.7359,990.1904,972.60274,932.770364,974.2847,820.3008,700.916303
16,592.917063,637.0850979,882.39588,907.30386,1014.5079,958.68859,951.1473,868.4901327,897.87781,788.999302,545.7404238,410.719288
17,48.6546996,294.448244,675.31779,845.215773,914.859464,961.2851,864.7804,745.226453,615.3247254,135.4716848,0.0087824,-0.2381751
18,-0.3170122,-0.2863336,12.8981122,161.4197463,408.23116,682.0583,498.40627,252.308766,13.6848802,-0.3170122,-0.306786,-0.3170122
19,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,6.3158441,1.6926596,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
20,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
21,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
22,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
23,-0.3170122,-0.2863336,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122,-0.3170122,-0.306786,-0.3170122,-0.306786,-0.3170122
